i,x,A,P,rho,u,p,E,a,M,k
69,2.9472361809045227e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5307798062839493e-01,7.1528200656322792e+02,1.4746890769906552e+05,2.9044571545749414e+06,8.4314635494899323e+02,8.4834857242133177e-01,1.2200000000000000e+00
70,2.9899497487437183e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5292889569703203e-01,7.1580112307564661e+02,1.4735999929716543e+05,2.9044325819120752e+06,8.4308331944768656e+02,8.4902773731139181e-01,1.2200000000000000e+00
71,3.0326633165829144e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5277980987635462e-01,7.1632052922946104e+02,1.4725110249220525e+05,2.9044082369241524e+06,8.4302023954974902e+02,8.4970739209303281e-01,1.2200000000000000e+00
72,3.0753768844221105e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5263069292792772e-01,7.1684032625178384e+02,1.4714219580371233e+05,2.9043841225784952e+06,8.4295710409352228e+02,8.5038766832938828e-01,1.2200000000000000e+00
73,3.1180904522613062e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5248151375530853e-01,7.1736061844181643e+02,1.4703325715483981e+05,2.9043602421603459e+06,8.4289390158016579e+02,8.5106870164440240e-01,1.2200000000000000e+00
74,3.1608040201005023e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5233224691492728e-01,7.1788149143205169e+02,1.4692426849789749e+05,2.9043365986939096e+06,8.4283062256484391e+02,8.5175060351680665e-01,1.2200000000000000e+00
75,3.2035175879396984e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5218288127020100e-01,7.1840298322007664e+02,1.4681522195787609e+05,2.9043131940878178e+06,8.4276726284293727e+02,8.5243342366748076e-01,1.2200000000000000e+00
76,3.2462311557788941e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5203342989511240e-01,7.1892505093294085e+02,1.4670612685762325e+05,2.9042900280588926e+06,8.4270382710542981e+02,8.5311710687531606e-01,1.2200000000000000e+00
77,3.2889447236180902e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5188393958557248e-01,7.1944753880026417e+02,1.4659701645805239e+05,2.9042670969741154e+06,8.4264033246109432e+02,8.5380145132500163e-01,1.2200000000000000e+00
78,3.3316582914572863e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5173449750968718e-01,7.1997015560377497e+02,1.4648795266095028e+05,2.9042443928583506e+06,8.4257681091609243e+02,8.5448607922283870e-01,1.2200000000000000e+00
79,3.3743718592964824e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5158523171893632e-01,7.2049247261536311e+02,1.4637902634980081e+05,2.9042219029366621e+06,8.4251330959979339e+02,8.5517043399303450e-01,1.2200000000000000e+00
80,3.4170854271356781e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5143630166281716e-01,7.2101395502355626e+02,1.4627035063567845e+05,2.9041996101927343e+06,8.4244988730705802e+02,8.5585382096532880e-01,1.2200000000000000e+00
81,3.4597989949748742e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5128787491711829e-01,7.2153403967550855e+02,1.4616204432658880e+05,2.9041774954800005e+06,8.4238660594631290e+02,8.5653550825984226e-01,1.2200000000000000e+00
82,3.5025125628140703e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5114008771753887e-01,7.2205226737899807e+02,1.4605420392202752e+05,2.9041555416346225e+06,8.4232351598689729e+02,8.5721489864023925e-01,1.2200000000000000e+00
