i,x,A,P,rho,u,p,E,a,M,k
165,7.0477386934673367e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.0591911111467599e-01,5.6854025578393635e+02,2.3735445104199834e+05,2.8194979797944012e+06,8.4461512842504078e+02,6.7313529754563717e-01,1.2200000000000000e+00
166,7.0904522613065319e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.0237508422706270e-01,5.7595265572003530e+02,2.3482566262030520e+05,2.8185830722030695e+06,8.4379539962506828e+02,6.8257382770272734e-01,1.2200000000000000e+00
167,7.1331658291457281e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.9884702961776441e-01,5.8338601003865779e+02,2.3231420916113115e+05,2.8177352251915382e+06,8.4297485660907148e+02,6.9205624042616287e-01,1.2200000000000000e+00
168,7.1758793969849242e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.9533488391813443e-01,5.9083983100052103e+02,2.2982029058813641e+05,2.8169579622421423e+06,8.4215402993422208e+02,7.0158167033490249e-01,1.2200000000000000e+00
169,7.2185929648241203e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.9183836196938271e-01,5.9831368280902097e+02,2.2734407734840008e+05,2.8162560915240212e+06,8.4133365430461038e+02,7.1114911396661851e-01,1.2200000000000000e+00
170,7.2613065326633173e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.8835717123827335e-01,6.0580720309568198e+02,2.2488570648666949e+05,2.8156342623380525e+06,8.4051443670935157e+02,7.2075764155514332e-01,1.2200000000000000e+00
171,7.3040201005025125e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.8489122987191859e-01,6.1332012949614852e+02,2.2244527493070677e+05,2.8150954055961180e+06,8.3969680400659831e+02,7.3040664984039771e-01,1.2200000000000000e+00
172,7.3467336683417086e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.8144083050469496e-01,6.2085232806908834e+02,2.2002283102794160e+05,2.8146394607100813e+06,8.3888069446966767e+02,7.4009609729019366e-01,1.2200000000000000e+00
173,7.3894472361809047e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.7800671210778675e-01,6.2840381871629017e+02,2.1761836632826089e+05,2.8142626850943957e+06,8.3806544150854540e+02,7.4982666936503506e-01,1.2200000000000000e+00
174,7.4321608040201008e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.7459002848324735e-01,6.3597479028403518e+02,2.1523181055432523e+05,2.8139576863119658e+06,8.3724977341284591e+02,7.5959983565195599e-01,1.2200000000000000e+00
175,7.4748743718592969e+00,9.9999999999999956e-01,3.5449077018110313e+00,3.7119222677770752e-01,6.4356559483693877e+02,2.1286303352965158e+05,2.8137141596232746e+06,8.3643192829839234e+02,7.6941777694472513e-01,1.2200000000000000e+00
